cluster,bin,N,R_arcsec,sigma,err_sigma,sigma_r,err_sigma_r,sigma_t,err_sigma_t,Rsun_kpc,rh_l_pc,rh_m_pc,Mass_Msun,RGC_kpc_struct,log_Trh,rc_pc,rt_pc,ARot_kms,PRot_percent,R_pc,R_over_rh_l
NGC0104,1,23,8.0216,0.66,0.071,0.625,0.099,0.715,0.114,4.52,4.03,6.44,852999.9999999999,7.52,9.7,0.61,124.63,5.0,100.0,0.1757817952633747,0.0436183114797455
NGC0104,2,269,16.6106,0.584,0.018,0.574,0.025,0.6,0.026,4.52,4.03,6.44,852999.9999999999,7.52,9.7,0.61,124.63,5.0,100.0,0.3639973432235231,0.0903219213954151
NGC0104,3,386,22.7047,0.595,0.015,0.591,0.021,0.6,0.022,4.52,4.03,6.44,852999.9999999999,7.52,9.7,0.61,124.63,5.0,100.0,0.4975407558238187,0.1234592446212949
NGC0104,4,386,26.6547,0.561,0.014,0.547,0.02,0.577,0.021,4.52,4.03,6.44,852999.9999999999,7.52,9.7,0.61,124.63,5.0,100.0,0.5840993091411533,0.1449377938315516
NGC0104,5,386,30.1497,0.591,0.015,0.588,0.022,0.597,0.021,4.52,4.03,6.44,852999.9999999999,7.52,9.7,0.61,124.63,5.0,100.0,0.6606871936586428,0.1639422316770825
NGC0104,6,386,33.8949,0.569,0.015,0.566,0.021,0.565,0.02,4.52,4.03,6.44,852999.9999999999,7.52,9.7,0.61,124.63,5.0,100.0,0.7427578503381571,0.1843071588928429
NGC0104,7,386,37.4059,0.547,0.014,0.517,0.019,0.572,0.021,4.52,4.03,6.44,852999.9999999999,7.52,9.7,0.61,124.63,5.0,100.0,0.8196963517804766,0.2033985984566939
NGC0104,8,386,40.9867,0.567,0.014,0.558,0.02,0.579,0.021,4.52,4.03,6.44,852999.9999999999,7.52,9.7,0.61,124.63,5.0,100.0,0.8981644195573654,0.2228695830167159
NGC0104,9,386,44.5412,0.561,0.014,0.553,0.02,0.57,0.021,4.52,4.03,6.44,852999.9999999999,7.52,9.7,0.61,124.63,5.0,100.0,0.9760561607640657,0.2421975585022495
NGC0104,10,386,48.1347,0.565,0.014,0.555,0.02,0.574,0.021,4.52,4.03,6.44,852999.9999999999,7.52,9.7,0.61,124.63,5.0,100.0,1.0548025307250382,0.2617376006761881
NGC0104,11,386,51.7444,0.54,0.013,0.547,0.02,0.536,0.019,4.52,4.03,6.44,852999.9999999999,7.52,9.7,0.61,124.63,5.0,100.0,1.1339039003224007,0.2813657320899257
NGC0104,12,386,55.6032,0.555,0.014,0.541,0.019,0.569,0.021,4.52,4.03,6.44,852999.9999999999,7.52,9.7,0.61,124.63,5.0,100.0,1.2184639371682058,0.3023483715057582
NGC0104,13,386,59.1933,0.53,0.013,0.539,0.02,0.522,0.019,4.52,4.03,6.44,852999.9999999999,7.52,9.7,0.61,124.63,5.0,100.0,1.297135801032652,0.3218699258145538
NGC0104,14,386,62.9727,0.55,0.014,0.55,0.02,0.552,0.02,4.52,4.03,6.44,852999.9999999999,7.52,9.7,0.61,124.63,5.0,100.0,1.37995590138899,0.3424208192032233
NGC0104,15,386,66.9185,0.555,0.014,0.594,0.022,0.513,0.019,4.52,4.03,6.44,852999.9999999999,7.52,9.7,0.61,124.63,5.0,100.0,1.4664224177635563,0.3638765304624209
NGC0104,16,386,70.6169,0.548,0.014,0.574,0.021,0.521,0.019,4.52,4.03,6.44,852999.9999999999,7.52,9.7,0.61,124.63,5.0,100.0,1.5474675199379435,0.3839869776520952
NGC0104,17,386,74.9096,0.543,0.014,0.552,0.02,0.533,0.02,4.52,4.03,6.44,852999.9999999999,7.52,9.7,0.61,124.63,5.0,100.0,1.641535849513975,0.407328994916619
NGC0104,18,386,79.1244,0.532,0.013,0.516,0.019,0.542,0.02,4.52,4.03,6.44,852999.9999999999,7.52,9.7,0.61,124.63,5.0,100.0,1.7338971129372407,0.4302474225650721
NGC0104,19,385,83.7639,0.538,0.014,0.556,0.02,0.523,0.019,4.52,4.03,6.44,852999.9999999999,7.52,9.7,0.61,124.63,5.0,100.0,1.835565064358956,0.4554752020741825
NGC0104,20,385,88.941,0.522,0.013,0.551,0.02,0.493,0.018,4.52,4.03,6.44,852999.9999999999,7.52,9.7,0.61,124.63,5.0,100.0,1.9490137444549485,0.4836262393188457
NGC0104,21,385,94.497,0.531,0.014,0.556,0.02,0.506,0.018,4.52,4.03,6.44,852999.9999999999,7.52,9.7,0.61,124.63,5.0,100.0,2.070765471602065,0.5138375860054752
NGC0104,22,385,100.0003,0.512,0.013,0.527,0.019,0.496,0.018,4.52,4.03,6.44,852999.9999999999,7.52,9.7,0.61,124.63,5.0,100.0,2.191362354253024,0.543762370782388
NGC0104,23,385,106.3089,0.499,0.013,0.528,0.019,0.469,0.017,4.52,4.03,6.44,852999.9999999999,7.52,9.7,0.61,124.63,5.0,100.0,2.3296062250018177,0.5780660607944956
NGC0104,24,385,113.4684,0.489,0.013,0.519,0.019,0.458,0.017,4.52,4.03,6.44,852999.9999999999,7.52,9.7,0.61,124.63,5.0,100.0,2.486496342084212,0.6169966109390104
NGC0104,25,385,121.5825,0.486,0.012,0.498,0.018,0.474,0.017,4.52,4.03,6.44,852999.9999999999,7.52,9.7,0.61,124.63,5.0,100.0,2.6643051414442582,0.6611179011027936
NGC0104,26,385,130.1041,0.482,0.012,0.488,0.018,0.479,0.018,4.52,4.03,6.44,852999.9999999999,7.52,9.7,0.61,124.63,5.0,100.0,2.851043715608561,0.7074550162800399
NGC0104,27,385,140.6284,0.475,0.012,0.488,0.018,0.463,0.017,4.52,4.03,6.44,852999.9999999999,7.52,9.7,0.61,124.63,5.0,100.0,3.081668571982644,0.7646820277872566
NGC0104,28,385,158.5868,0.46,0.012,0.465,0.018,0.458,0.017,4.52,4.03,6.44,852999.9999999999,7.52,9.7,0.61,124.63,5.0,100.0,3.475201008411509,0.8623327564296549
NGC0362,1,147,7.1193,0.197,0.008,0.204,0.012,0.189,0.011,8.83,2.21,3.36,252000.0,9.62,9.01,0.43,86.94,0.51,53.0,0.3047701694422224,0.1379050540462544
NGC0362,2,178,12.309,0.195,0.007,0.2,0.011,0.192,0.01,8.83,2.21,3.36,252000.0,9.62,9.01,0.43,86.94,0.51,53.0,0.5269360773761909,0.2384326141973714
NGC0362,3,178,16.1014,0.184,0.007,0.173,0.009,0.198,0.011,8.83,2.21,3.36,252000.0,9.62,9.01,0.43,86.94,0.51,53.0,0.6892849586696724,0.3118936464568653
NGC0362,4,178,19.5568,0.185,0.007,0.189,0.01,0.182,0.01,8.83,2.21,3.36,252000.0,9.62,9.01,0.43,86.94,0.51,53.0,0.837207204324534,0.3788267892871194
NGC0362,5,178,22.6414,0.188,0.007,0.19,0.01,0.187,0.01,8.83,2.21,3.36,252000.0,9.62,9.01,0.43,86.94,0.51,53.0,0.9692558698761302,0.4385773166860318
NGC0362,6,178,25.8596,0.188,0.007,0.195,0.011,0.182,0.01,8.83,2.21,3.36,252000.0,9.62,9.01,0.43,86.94,0.51,53.0,1.1070238188737789,0.5009157551465063
NGC0362,7,178,29.0667,0.192,0.007,0.189,0.01,0.197,0.01,8.83,2.21,3.36,252000.0,9.62,9.01,0.43,86.94,0.51,53.0,1.2443165878845177,0.5630391800382433
NGC0362,8,178,32.3391,0.174,0.007,0.167,0.009,0.18,0.01,8.83,2.21,3.36,252000.0,9.62,9.01,0.43,86.94,0.51,53.0,1.3844047851065375,0.626427504573094
NGC0362,9,178,35.6755,0.179,0.007,0.182,0.01,0.171,0.009,8.83,2.21,3.36,252000.0,9.62,9.01,0.43,86.94,0.51,53.0,1.5272327588296608,0.691055546981747
NGC0362,10,178,39.0979,0.174,0.007,0.177,0.01,0.172,0.009,8.83,2.21,3.36,252000.0,9.62,9.01,0.43,86.94,0.51,53.0,1.673742307226141,0.7573494602833217
NGC0362,11,177,43.1205,0.178,0.007,0.167,0.009,0.184,0.01,8.83,2.21,3.36,252000.0,9.62,9.01,0.43,86.94,0.51,53.0,1.8459458221220275,0.8352696027701481
NGC0362,12,177,47.1062,0.181,0.007,0.188,0.01,0.175,0.01,8.83,2.21,3.36,252000.0,9.62,9.01,0.43,86.94,0.51,53.0,2.0165696846289967,0.9124749704203604
NGC0362,13,177,51.8703,0.167,0.006,0.164,0.009,0.17,0.009,8.83,2.21,3.36,252000.0,9.62,9.01,0.43,86.94,0.51,53.0,2.2205160788306304,1.0047584067106925
NGC0362,14,177,56.6183,0.166,0.006,0.163,0.009,0.169,0.009,8.83,2.21,3.36,252000.0,9.62,9.01,0.43,86.94,0.51,53.0,2.423773248006206,1.0967299764733964
NGC0362,15,177,61.9446,0.161,0.006,0.167,0.009,0.158,0.008,8.83,2.21,3.36,252000.0,9.62,9.01,0.43,86.94,0.51,53.0,2.6517868664097155,1.1999035594614098
NGC0362,16,177,66.9422,0.157,0.006,0.148,0.008,0.168,0.009,8.83,2.21,3.36,252000.0,9.62,9.01,0.43,86.94,0.51,53.0,2.8657291639395925,1.2967100289319424
NGC0362,17,177,72.8894,0.16,0.006,0.155,0.009,0.164,0.009,8.83,2.21,3.36,252000.0,9.62,9.01,0.43,86.94,0.51,53.0,3.120322895304584,1.4119108123550157
NGC0362,18,177,79.0759,0.167,0.007,0.166,0.009,0.165,0.009,8.83,2.21,3.36,252000.0,9.62,9.01,0.43,86.94,0.51,53.0,3.3851608222432312,1.5317469783906024
NGC0362,19,177,90.796,0.144,0.006,0.142,0.008,0.145,0.008,8.83,2.21,3.36,252000.0,9.62,9.01,0.43,86.94,0.51,53.0,3.886886674908492,1.7587722510898154
NGC1261,1,49,3.1141,0.075,0.006,0.077,0.008,0.073,0.008,16.4,3.25,4.86,172000.0,18.28,9.21,1.05,138.12,0.9,86.9,0.2476001260514386,0.0761846541696734
NGC1261,2,131,7.8312,0.073,0.003,0.065,0.004,0.08,0.005,16.4,3.25,4.86,172000.0,18.28,9.21,1.05,138.12,0.9,86.9,0.6226537706348629,0.1915857755799578
NGC1261,3,147,12.0745,0.071,0.003,0.07,0.004,0.072,0.005,16.4,3.25,4.86,172000.0,18.28,9.21,1.05,138.12,0.9,86.9,0.960035876178702,0.2953956542088314
NGC1261,4,147,15.8514,0.071,0.003,0.07,0.004,0.07,0.004,16.4,3.25,4.86,172000.0,18.28,9.21,1.05,138.12,0.9,86.9,1.2603348120136717,0.3877953267734373
NGC1261,5,147,18.6315,0.062,0.003,0.061,0.004,0.064,0.004,16.4,3.25,4.86,172000.0,18.28,9.21,1.05,138.12,0.9,86.9,1.4813788088139042,0.455808864250432
NGC1261,6,161,21.8509,0.063,0.003,0.062,0.004,0.065,0.004,16.4,3.25,4.86,172000.0,18.28,9.21,1.05,138.12,0.9,86.9,1.7373512714226842,0.5345696219762105
NGC1261,7,161,24.736,0.067,0.003,0.068,0.004,0.066,0.004,16.4,3.25,4.86,172000.0,18.28,9.21,1.05,138.12,0.9,86.9,1.9667437519695536,0.6051519236829396
NGC1261,8,161,27.5568,0.066,0.003,0.066,0.004,0.066,0.004,16.4,3.25,4.86,172000.0,18.28,9.21,1.05,138.12,0.9,86.9,2.19102378008872,0.6741611631042216
NGC1261,9,161,30.9621,0.063,0.003,0.06,0.004,0.066,0.004,16.4,3.25,4.86,172000.0,18.28,9.21,1.05,138.12,0.9,86.9,2.4617770343974983,0.7574698567376917
NGC1261,10,160,34.5378,0.062,0.003,0.058,0.004,0.065,0.004,16.4,3.25,4.86,172000.0,18.28,9.21,1.05,138.12,0.9,86.9,2.7460786851865318,0.844947287749702
NGC1261,11,160,38.1547,0.064,0.003,0.065,0.004,0.062,0.004,16.4,3.25,4.86,172000.0,18.28,9.21,1.05,138.12,0.9,86.9,3.033656121979007,0.9334326529166176
NGC1261,12,160,42.0203,0.063,0.003,0.065,0.004,0.061,0.004,16.4,3.25,4.86,172000.0,18.28,9.21,1.05,138.12,0.9,86.9,3.3410075388456595,1.0280023196448185
NGC1261,13,160,46.5004,0.058,0.003,0.057,0.003,0.06,0.004,16.4,3.25,4.86,172000.0,18.28,9.21,1.05,138.12,0.9,86.9,3.6972174629723895,1.1376053732222735
NGC1261,14,160,50.73,0.056,0.002,0.052,0.003,0.061,0.004,16.4,3.25,4.86,172000.0,18.28,9.21,1.05,138.12,0.9,86.9,4.033510290160715,1.2410800892802198
NGC1261,15,160,56.4076,0.053,0.002,0.055,0.003,0.052,0.003,16.4,3.25,4.86,172000.0,18.28,9.21,1.05,138.12,0.9,86.9,4.484932683683611,1.379979287287265
NGC1261,16,160,62.0254,0.054,0.002,0.054,0.003,0.054,0.003,16.4,3.25,4.86,172000.0,18.28,9.21,1.05,138.12,0.9,86.9,4.931600416939373,1.5174155129044224
NGC1261,17,160,68.3646,0.056,0.002,0.056,0.003,0.057,0.003,16.4,3.25,4.86,172000.0,18.28,9.21,1.05,138.12,0.9,86.9,5.435626209002981,1.6725003720009173
NGC1261,18,160,75.6814,0.053,0.002,0.055,0.003,0.053,0.003,16.4,3.25,4.86,172000.0,18.28,9.21,1.05,138.12,0.9,86.9,6.017380360216225,1.8515016492973
NGC1261,19,160,85.0808,0.052,0.002,0.054,0.003,0.049,0.003,16.4,3.25,4.86,172000.0,18.28,9.21,1.05,138.12,0.9,86.9,6.764720723341331,2.081452530258871
NGC1261,20,160,99.6557,0.046,0.002,0.047,0.003,0.044,0.003,16.4,3.25,4.86,172000.0,18.28,9.21,1.05,138.12,0.9,86.9,7.9235618258066065,2.4380190233251096
NGC1851,1,28,4.3529,0.185,0.019,0.198,0.029,0.209,0.031,11.95,1.75,3.16,283000.0,16.69,9.0,0.14,123.69,0.45,71.2,0.2521860470753642,0.1441063126144938
NGC1851,2,122,8.2597,0.174,0.008,0.171,0.011,0.177,0.012,11.95,1.75,3.16,283000.0,16.69,9.0,0.14,123.69,0.45,71.2,0.4785272101422927,0.2734441200813101
NGC1851,3,216,12.3398,0.159,0.006,0.142,0.007,0.176,0.009,11.95,1.75,3.16,283000.0,16.69,9.0,0.14,123.69,0.45,71.2,0.7149085399849708,0.4085191657056976
NGC1851,4,215,15.7316,0.151,0.005,0.149,0.008,0.153,0.008,11.95,1.75,3.16,283000.0,16.69,9.0,0.14,123.69,0.45,71.2,0.9114130851089618,0.520807477205121
NGC1851,5,215,18.4134,0.152,0.005,0.155,0.008,0.15,0.007,11.95,1.75,3.16,283000.0,16.69,9.0,0.14,123.69,0.45,71.2,1.0667836520980292,0.609590658341731
NGC1851,6,248,21.5404,0.15,0.005,0.149,0.007,0.152,0.007,11.95,1.75,3.16,283000.0,16.69,9.0,0.14,123.69,0.45,71.2,1.2479469614331078,0.7131125493903473
NGC1851,7,248,24.7186,0.142,0.005,0.144,0.007,0.14,0.007,11.95,1.75,3.16,283000.0,16.69,9.0,0.14,123.69,0.45,71.2,1.4320765520083385,0.8183294582904791
NGC1851,8,248,28.2263,0.137,0.004,0.134,0.006,0.138,0.007,11.95,1.75,3.16,283000.0,16.69,9.0,0.14,123.69,0.45,71.2,1.6352957845490022,0.9344547340280012
NGC1851,9,248,31.5334,0.133,0.005,0.128,0.006,0.137,0.006,11.95,1.75,3.16,283000.0,16.69,9.0,0.14,123.69,0.45,71.2,1.8268932198870385,1.0439389827925931
NGC1851,10,248,34.865,0.127,0.004,0.137,0.006,0.118,0.006,11.95,1.75,3.16,283000.0,16.69,9.0,0.14,123.69,0.45,71.2,2.019910067146632,1.1542343240837896
NGC1851,11,248,38.3458,0.136,0.005,0.141,0.007,0.131,0.006,11.95,1.75,3.16,283000.0,16.69,9.0,0.14,123.69,0.45,71.2,2.221570843332606,1.2694690533329176
NGC1851,12,248,41.8581,0.126,0.004,0.13,0.006,0.124,0.006,11.95,1.75,3.16,283000.0,16.69,9.0,0.14,123.69,0.45,71.2,2.42505657770344,1.3857466158305372
NGC1851,13,248,46.0849,0.126,0.004,0.132,0.006,0.119,0.006,11.95,1.75,3.16,283000.0,16.69,9.0,0.14,123.69,0.45,71.2,2.6699369985213197,1.525678284869325
NGC1851,14,248,50.1188,0.119,0.004,0.127,0.006,0.11,0.005,11.95,1.75,3.16,283000.0,16.69,9.0,0.14,123.69,0.45,71.2,2.903641723026204,1.6592238417292595
NGC1851,15,248,54.4468,0.114,0.004,0.115,0.006,0.111,0.005,11.95,1.75,3.16,283000.0,16.69,9.0,0.14,123.69,0.45,71.2,3.1543851841078223,1.802505819490184
NGC1851,16,247,59.5479,0.12,0.004,0.129,0.006,0.112,0.005,11.95,1.75,3.16,283000.0,16.69,9.0,0.14,123.69,0.45,71.2,3.44991833321213,1.9713819046926455
NGC1851,17,247,66.3774,0.113,0.004,0.111,0.005,0.117,0.006,11.95,1.75,3.16,283000.0,16.69,9.0,0.14,123.69,0.45,71.2,3.845586648243763,2.197478084710722
NGC1851,18,247,73.0078,0.109,0.004,0.106,0.005,0.113,0.005,11.95,1.75,3.16,283000.0,16.69,9.0,0.14,123.69,0.45,71.2,4.229720068843479,2.416982896481988
NGC1851,19,247,81.3272,0.106,0.004,0.107,0.005,0.106,0.005,11.95,1.75,3.16,283000.0,16.69,9.0,0.14,123.69,0.45,71.2,4.711706009259933,2.6924034338628187
NGC1851,20,247,89.8988,0.101,0.004,0.104,0.005,0.099,0.005,11.95,1.75,3.16,283000.0,16.69,9.0,0.14,123.69,0.45,71.2,5.208303202191355,2.97617325839506
NGC2808,1,64,3.475,0.31,0.02,0.314,0.028,0.309,0.028,10.06,2.45,3.75,791000.0,11.58,9.31,0.74,160.53,2.25,100.0,0.1694834315080115,0.0691769108195965
NGC2808,2,130,7.8932,0.285,0.013,0.315,0.02,0.253,0.016,10.06,2.45,3.75,791000.0,11.58,9.31,0.74,160.53,2.25,100.0,0.3849688119651905,0.1571301273327308
NGC2808,3,204,13.0162,0.277,0.01,0.277,0.014,0.278,0.014,10.06,2.45,3.75,791000.0,11.58,9.31,0.74,160.53,2.25,100.0,0.6348288463869294,0.2591138148518079
NGC2808,4,204,17.7359,0.282,0.01,0.294,0.015,0.272,0.014,10.06,2.45,3.75,791000.0,11.58,9.31,0.74,160.53,2.25,100.0,0.865019048311638,0.3530689993108726
NGC2808,5,370,23.4996,0.275,0.008,0.276,0.011,0.273,0.01,10.06,2.45,3.75,791000.0,11.58,9.31,0.74,160.53,2.25,100.0,1.1461274380045088,0.4678071175528607
NGC2808,6,370,29.1619,0.266,0.007,0.282,0.011,0.251,0.01,10.06,2.45,3.75,791000.0,11.58,9.31,0.74,160.53,2.25,100.0,1.4222903255520811,0.5805266634906454
NGC2808,7,370,33.3908,0.26,0.007,0.258,0.01,0.262,0.01,10.06,2.45,3.75,791000.0,11.58,9.31,0.74,160.53,2.25,100.0,1.6285431265604928,0.6647114802287726
NGC2808,8,370,37.1908,0.261,0.007,0.263,0.01,0.259,0.01,10.06,2.45,3.75,791000.0,11.58,9.31,0.74,160.53,2.25,100.0,1.813877526482923,0.7403581740746624
NGC2808,9,370,40.673,0.248,0.007,0.258,0.01,0.237,0.009,10.06,2.45,3.75,791000.0,11.58,9.31,0.74,160.53,2.25,100.0,1.9837121179065764,0.809678415472072
NGC2808,10,370,43.8803,0.256,0.007,0.273,0.01,0.239,0.009,10.06,2.45,3.75,791000.0,11.58,9.31,0.74,160.53,2.25,100.0,2.1401392286621577,0.8735262157804724
NGC2808,11,370,46.5007,0.246,0.007,0.243,0.009,0.249,0.009,10.06,2.45,3.75,791000.0,11.58,9.31,0.74,160.53,2.25,100.0,2.267941929071825,0.9256905832946224
NGC2808,12,370,49.4917,0.243,0.006,0.249,0.01,0.236,0.009,10.06,2.45,3.75,791000.0,11.58,9.31,0.74,160.53,2.25,100.0,2.41381961069498,0.9852324941612164
NGC2808,13,370,52.5844,0.248,0.007,0.253,0.01,0.242,0.009,10.06,2.45,3.75,791000.0,11.58,9.31,0.74,160.53,2.25,100.0,2.564657426126585,1.0467989494394223
NGC2808,14,370,55.5862,0.235,0.006,0.248,0.009,0.222,0.009,10.06,2.45,3.75,791000.0,11.58,9.31,0.74,160.53,2.25,100.0,2.711061847623203,1.106555856172736
NGC2808,15,370,58.6705,0.233,0.006,0.248,0.01,0.217,0.008,10.06,2.45,3.75,791000.0,11.58,9.31,0.74,160.53,2.25,100.0,2.8614899764865585,1.1679550924434932
NGC2808,16,370,61.8199,0.232,0.006,0.232,0.009,0.232,0.009,10.06,2.45,3.75,791000.0,11.58,9.31,0.74,160.53,2.25,100.0,3.015093176253848,1.2306502760219789
NGC2808,17,370,65.2062,0.234,0.006,0.245,0.009,0.223,0.008,10.06,2.45,3.75,791000.0,11.58,9.31,0.74,160.53,2.25,100.0,3.180250512689986,1.2980614337510146
NGC2808,18,370,68.4998,0.224,0.006,0.231,0.009,0.219,0.008,10.06,2.45,3.75,791000.0,11.58,9.31,0.74,160.53,2.25,100.0,3.340886665212227,1.3636272102907048
NGC2808,19,370,72.1304,0.231,0.006,0.232,0.009,0.23,0.009,10.06,2.45,3.75,791000.0,11.58,9.31,0.74,160.53,2.25,100.0,3.5179590526749567,1.4359016541530434
NGC2808,20,370,76.2377,0.215,0.006,0.231,0.009,0.199,0.007,10.06,2.45,3.75,791000.0,11.58,9.31,0.74,160.53,2.25,100.0,3.718281152885851,1.5176657766881023
NGC2808,21,370,80.707,0.207,0.006,0.222,0.008,0.192,0.007,10.06,2.45,3.75,791000.0,11.58,9.31,0.74,160.53,2.25,100.0,3.936258793299882,1.6066362421632168
NGC2808,22,370,85.5369,0.212,0.006,0.22,0.008,0.207,0.008,10.06,2.45,3.75,791000.0,11.58,9.31,0.74,160.53,2.25,100.0,4.171823692822341,1.7027851807438124
NGC2808,23,369,91.4613,0.201,0.005,0.207,0.008,0.194,0.007,10.06,2.45,3.75,791000.0,11.58,9.31,0.74,160.53,2.25,100.0,4.4607697767435095,1.820722357854493
NGC2808,24,369,101.5505,0.19,0.005,0.203,0.008,0.178,0.007,10.06,2.45,3.75,791000.0,11.58,9.31,0.74,160.53,2.25,100.0,4.952842362979662,2.02156831142027
NGC5904,1,54,3.7621,0.206,0.015,0.218,0.022,0.191,0.019,7.48,3.52,5.6,392000.0,6.27,9.5,1.13,81.29,4.11,100.0,0.1364289045645165,0.0387582115240103
NGC5904,2,150,7.6884,0.209,0.009,0.206,0.012,0.212,0.012,7.48,3.52,5.6,392000.0,6.27,9.5,1.13,81.29,4.11,100.0,0.2788123627372555,0.0792080575958112
NGC5904,3,214,12.851,0.197,0.007,0.189,0.009,0.207,0.01,7.48,3.52,5.6,392000.0,6.27,9.5,1.13,81.29,4.11,100.0,0.4660290403122197,0.1323946137250624
NGC5904,4,214,17.9793,0.217,0.007,0.218,0.011,0.213,0.01,7.48,3.52,5.6,392000.0,6.27,9.5,1.13,81.29,4.11,100.0,0.6520018616827866,0.185227801614428
NGC5904,5,239,21.7856,0.216,0.007,0.212,0.01,0.218,0.01,7.48,3.52,5.6,392000.0,6.27,9.5,1.13,81.29,4.11,100.0,0.7900336363415994,0.2244413739606816
NGC5904,6,239,25.5341,0.21,0.007,0.213,0.01,0.207,0.01,7.48,3.52,5.6,392000.0,6.27,9.5,1.13,81.29,4.11,100.0,0.925969350107871,0.2630594744624633
NGC5904,7,239,29.4589,0.203,0.007,0.207,0.01,0.2,0.009,7.48,3.52,5.6,392000.0,6.27,9.5,1.13,81.29,4.11,100.0,1.068298412236686,0.3034938671126948
NGC5904,8,239,33.4017,0.21,0.007,0.206,0.01,0.213,0.01,7.48,3.52,5.6,392000.0,6.27,9.5,1.13,81.29,4.11,100.0,1.2112802268925895,0.3441137008217584
NGC5904,9,239,38.2157,0.204,0.007,0.204,0.01,0.206,0.01,7.48,3.52,5.6,392000.0,6.27,9.5,1.13,81.29,4.11,100.0,1.385855263859598,0.3937088817782949
NGC5904,10,239,42.7223,0.21,0.007,0.195,0.009,0.224,0.011,7.48,3.52,5.6,392000.0,6.27,9.5,1.13,81.29,4.11,100.0,1.5492827382250984,0.4401371415412211
NGC5904,11,239,47.0507,0.199,0.007,0.202,0.01,0.197,0.009,7.48,3.52,5.6,392000.0,6.27,9.5,1.13,81.29,4.11,100.0,1.706247962572419,0.4847295348217099
NGC5904,12,239,51.76,0.198,0.007,0.2,0.009,0.198,0.009,7.48,3.52,5.6,392000.0,6.27,9.5,1.13,81.29,4.11,100.0,1.8770261556735268,0.5332460669527065
NGC5904,13,238,56.6481,0.208,0.007,0.213,0.01,0.203,0.01,7.48,3.52,5.6,392000.0,6.27,9.5,1.13,81.29,4.11,100.0,2.054288357210385,0.5836046469347684
NGC5904,14,238,61.8028,0.201,0.007,0.203,0.009,0.199,0.009,7.48,3.52,5.6,392000.0,6.27,9.5,1.13,81.29,4.11,100.0,2.2412185489540155,0.6367098150437545
NGC5904,15,238,68.3356,0.203,0.007,0.202,0.01,0.201,0.01,7.48,3.52,5.6,392000.0,6.27,9.5,1.13,81.29,4.11,100.0,2.478124199452161,0.7040125566625458
NGC5904,16,238,74.3174,0.195,0.006,0.199,0.009,0.191,0.009,7.48,3.52,5.6,392000.0,6.27,9.5,1.13,81.29,4.11,100.0,2.695048369815529,0.7656387414248662
NGC5904,17,238,81.908,0.192,0.007,0.2,0.01,0.185,0.009,7.48,3.52,5.6,392000.0,6.27,9.5,1.13,81.29,4.11,100.0,2.9703141104889346,0.8438392359343564
