cluster,bin,N,R_arcsec,sigma,err_sigma,sigma_r,err_sigma_r,sigma_t,err_sigma_t,Rsun_kpc,rh_l_pc,rh_m_pc,Mass_Msun,RGC_kpc_struct,log_Trh,rc_pc,rt_pc,ARot_kms,PRot_percent,R_pc,R_over_rh_l
NGC5904,18,238,91.1232,0.189,0.006,0.193,0.009,0.184,0.009,7.48,3.52,5.6,392000.0,6.27,9.5,1.13,81.29,4.11,100.0,3.304494393135045,0.9387768162315469
NGC5904,19,238,104.368,0.185,0.006,0.184,0.009,0.188,0.009,7.48,3.52,5.6,392000.0,6.27,9.5,1.13,81.29,4.11,100.0,3.7848042081788,1.0752284682326134
NGC5927,1,88,6.8315,0.163,0.009,0.153,0.012,0.174,0.014,8.27,3.11,5.92,293000.0,4.77,9.43,1.33,64.5,0.93,82.2,0.273902528300972,0.0880715525083511
NGC5927,2,224,14.5631,0.153,0.005,0.154,0.008,0.153,0.007,8.27,3.11,5.92,293000.0,4.77,9.43,1.33,64.5,0.93,82.2,0.5838937143965287,0.1877471750471153
NGC5927,3,224,21.5814,0.157,0.005,0.157,0.008,0.158,0.008,8.27,3.11,5.92,293000.0,4.77,9.43,1.33,64.5,0.93,82.2,0.8652858119409497,0.2782269491771542
NGC5927,4,224,26.7515,0.145,0.005,0.147,0.007,0.143,0.007,8.27,3.11,5.92,293000.0,4.77,9.43,1.33,64.5,0.93,82.2,1.0725760793154435,0.3448797682686314
NGC5927,5,224,31.0793,0.154,0.005,0.16,0.008,0.145,0.007,8.27,3.11,5.92,293000.0,4.77,9.43,1.33,64.5,0.93,82.2,1.2460951252030157,0.4006736736987188
NGC5927,6,223,35.9658,0.151,0.005,0.146,0.007,0.157,0.008,8.27,3.11,5.92,293000.0,4.77,9.43,1.33,64.5,0.93,82.2,1.4420147189295325,0.4636703276300747
NGC5927,7,223,41.0518,0.15,0.005,0.142,0.007,0.157,0.008,8.27,3.11,5.92,293000.0,4.77,9.43,1.33,64.5,0.93,82.2,1.6459330763823237,0.5292389313126443
NGC5927,8,223,45.7575,0.151,0.005,0.161,0.008,0.142,0.007,8.27,3.11,5.92,293000.0,4.77,9.43,1.33,64.5,0.93,82.2,1.8346036651879865,0.5899047154945294
NGC5927,9,223,50.7227,0.147,0.005,0.142,0.007,0.153,0.007,8.27,3.11,5.92,293000.0,4.77,9.43,1.33,64.5,0.93,82.2,2.0336786609458706,0.6539159681497977
NGC5927,10,223,55.6653,0.143,0.005,0.149,0.008,0.136,0.007,8.27,3.11,5.92,293000.0,4.77,9.43,1.33,64.5,0.93,82.2,2.2318475310886483,0.7176358620863821
NGC5927,11,223,60.8751,0.157,0.006,0.16,0.008,0.154,0.007,8.27,3.11,5.92,293000.0,4.77,9.43,1.33,64.5,0.93,82.2,2.440729532397644,0.7848004927323614
NGC5927,12,223,66.5802,0.15,0.005,0.156,0.008,0.144,0.007,8.27,3.11,5.92,293000.0,4.77,9.43,1.33,64.5,0.93,82.2,2.6694701185368337,0.85835052042985
NGC5927,13,223,72.1609,0.15,0.005,0.148,0.007,0.153,0.007,8.27,3.11,5.92,293000.0,4.77,9.43,1.33,64.5,0.93,82.2,2.8932230043875595,0.9302967859767072
NGC5927,14,223,78.1722,0.139,0.005,0.141,0.007,0.138,0.007,8.27,3.11,5.92,293000.0,4.77,9.43,1.33,64.5,0.93,82.2,3.134240389789834,1.0077943375530012
NGC5927,15,223,85.5987,0.135,0.005,0.137,0.007,0.134,0.007,8.27,3.11,5.92,293000.0,4.77,9.43,1.33,64.5,0.93,82.2,3.431998880081448,1.1035366173895331
NGC5927,16,223,93.6304,0.145,0.005,0.146,0.007,0.144,0.007,8.27,3.11,5.92,293000.0,4.77,9.43,1.33,64.5,0.93,82.2,3.754022291712117,1.2070811227370153
NGC5927,17,223,106.5675,0.141,0.005,0.145,0.007,0.136,0.007,8.27,3.11,5.92,293000.0,4.77,9.43,1.33,64.5,0.93,82.2,4.2727230746854765,1.3738659404133369
NGC5986,1,124,7.1035,0.158,0.008,0.174,0.012,0.146,0.011,10.54,2.84,4.35,299000.0,4.85,9.24,0.75,68.63,1.65,97.7,0.3629839769228904,0.127811259479891
NGC5986,2,213,13.9689,0.147,0.006,0.149,0.008,0.146,0.008,10.54,2.84,4.35,299000.0,4.85,9.24,0.75,68.63,1.65,97.7,0.7138012071849319,0.2513384532341309
NGC5986,3,212,19.1283,0.157,0.006,0.144,0.008,0.171,0.009,10.54,2.84,4.35,299000.0,4.85,9.24,0.75,68.63,1.65,97.7,0.977443007781252,0.3441700731624127
NGC5986,4,212,24.1882,0.144,0.005,0.129,0.007,0.158,0.008,10.54,2.84,4.35,299000.0,4.85,9.24,0.75,68.63,1.65,97.7,1.2360004266356384,0.4352114178294501
NGC5986,5,212,28.0491,0.148,0.006,0.16,0.009,0.134,0.007,10.54,2.84,4.35,299000.0,4.85,9.24,0.75,68.63,1.65,97.7,1.4332897680168712,0.5046794957805885
NGC5986,6,212,31.7945,0.146,0.006,0.155,0.008,0.137,0.008,10.54,2.84,4.35,299000.0,4.85,9.24,0.75,68.63,1.65,97.7,1.6246771386323418,0.572069415011388
NGC5986,7,212,35.9506,0.144,0.005,0.148,0.008,0.14,0.007,10.54,2.84,4.35,299000.0,4.85,9.24,0.75,68.63,1.65,97.7,1.837050997503212,0.646848942782821
NGC5986,8,212,39.8394,0.139,0.005,0.142,0.008,0.138,0.007,10.54,2.84,4.35,299000.0,4.85,9.24,0.75,68.63,1.65,97.7,2.0357660097447456,0.7168190175157555
NGC5986,9,212,43.8444,0.144,0.005,0.148,0.008,0.141,0.007,10.54,2.84,4.35,299000.0,4.85,9.24,0.75,68.63,1.65,97.7,2.2404187622718346,0.7888798458703643
NGC5986,10,212,48.1075,0.137,0.005,0.138,0.007,0.136,0.007,10.54,2.84,4.35,299000.0,4.85,9.24,0.75,68.63,1.65,97.7,2.4582602477395583,0.8655845942744924
NGC5986,11,212,52.3382,0.135,0.005,0.137,0.007,0.134,0.007,10.54,2.84,4.35,299000.0,4.85,9.24,0.75,68.63,1.65,97.7,2.674446115434029,0.941706378673954
NGC5986,12,212,56.9775,0.129,0.005,0.132,0.007,0.128,0.007,10.54,2.84,4.35,299000.0,4.85,9.24,0.75,68.63,1.65,97.7,2.911511162824522,1.0251799869100429
NGC5986,13,212,61.3908,0.137,0.005,0.141,0.007,0.133,0.007,10.54,2.84,4.35,299000.0,4.85,9.24,0.75,68.63,1.65,97.7,3.1370277652534355,1.104587241286421
NGC5986,14,212,66.6145,0.125,0.005,0.129,0.007,0.119,0.007,10.54,2.84,4.35,299000.0,4.85,9.24,0.75,68.63,1.65,97.7,3.403955251739268,1.1985757928659395
NGC5986,15,212,71.3306,0.124,0.005,0.132,0.007,0.115,0.006,10.54,2.84,4.35,299000.0,4.85,9.24,0.75,68.63,1.65,97.7,3.6449447264441375,1.2834312417056823
NGC5986,16,212,77.2644,0.126,0.005,0.134,0.007,0.116,0.006,10.54,2.84,4.35,299000.0,4.85,9.24,0.75,68.63,1.65,97.7,3.94815783579376,1.3901964210541409
NGC5986,17,212,87.9152,0.117,0.005,0.112,0.006,0.121,0.007,10.54,2.84,4.35,299000.0,4.85,9.24,0.75,68.63,1.65,97.7,4.492406409230843,1.5818332426869166
NGC6205,1,134,6.8744,0.259,0.011,0.266,0.017,0.252,0.016,7.42,3.47,5.21,484000.0,8.64,9.47,1.75,130.27,1.53,99.9,0.2472937628778513,0.0712662140858361
NGC6205,2,257,14.173,0.246,0.008,0.246,0.011,0.248,0.011,7.42,3.47,5.21,484000.0,8.64,9.47,1.75,130.27,1.53,99.9,0.5098473323152255,0.1469300669496327
NGC6205,3,257,20.1195,0.253,0.008,0.236,0.011,0.268,0.012,7.42,3.47,5.21,484000.0,8.64,9.47,1.75,130.27,1.53,99.9,0.723761617336921,0.2085768349674124
NGC6205,4,257,25.2153,0.244,0.008,0.247,0.011,0.243,0.011,7.42,3.47,5.21,484000.0,8.64,9.47,1.75,130.27,1.53,99.9,0.9070735510144716,0.2614044815603664
NGC6205,5,257,29.2729,0.249,0.008,0.244,0.011,0.255,0.011,7.42,3.47,5.21,484000.0,8.64,9.47,1.75,130.27,1.53,99.9,1.0530381693452595,0.3034692130677981
NGC6205,6,257,33.5803,0.25,0.008,0.266,0.012,0.229,0.01,7.42,3.47,5.21,484000.0,8.64,9.47,1.75,130.27,1.53,99.9,1.2079888783846022,0.3481235960762542
NGC6205,7,257,37.2546,0.254,0.008,0.258,0.012,0.248,0.011,7.42,3.47,5.21,484000.0,8.64,9.47,1.75,130.27,1.53,99.9,1.340164991636972,0.3862146949962455
NGC6205,8,257,41.1668,0.247,0.008,0.261,0.012,0.233,0.011,7.42,3.47,5.21,484000.0,8.64,9.47,1.75,130.27,1.53,99.9,1.4808991152158628,0.4267720793129287
NGC6205,9,257,45.0742,0.24,0.008,0.235,0.011,0.246,0.011,7.42,3.47,5.21,484000.0,8.64,9.47,1.75,130.27,1.53,99.9,1.6214605677162874,0.4672797025118984
NGC6205,10,257,48.6752,0.228,0.007,0.209,0.009,0.245,0.011,7.42,3.47,5.21,484000.0,8.64,9.47,1.75,130.27,1.53,99.9,1.7509998497079,0.5046109076968012
NGC6205,11,256,52.6228,0.222,0.007,0.214,0.01,0.231,0.01,7.42,3.47,5.21,484000.0,8.64,9.47,1.75,130.27,1.53,99.9,1.8930074224904851,0.545535280256624
NGC6205,12,256,56.2408,0.227,0.007,0.225,0.01,0.229,0.01,7.42,3.47,5.21,484000.0,8.64,9.47,1.75,130.27,1.53,99.9,2.0231582478850023,0.58304272273343
NGC6205,13,256,59.8035,0.228,0.007,0.211,0.009,0.244,0.011,7.42,3.47,5.21,484000.0,8.64,9.47,1.75,130.27,1.53,99.9,2.1513197585630133,0.6199768756665744
NGC6205,14,256,63.0842,0.22,0.007,0.224,0.01,0.218,0.01,7.42,3.47,5.21,484000.0,8.64,9.47,1.75,130.27,1.53,99.9,2.269336843381088,0.653987562934031
NGC6205,15,256,67.1827,0.219,0.007,0.226,0.01,0.214,0.01,7.42,3.47,5.21,484000.0,8.64,9.47,1.75,130.27,1.53,99.9,2.41677276319298,0.6964763006319826
NGC6205,16,256,71.1207,0.222,0.007,0.234,0.011,0.211,0.01,7.42,3.47,5.21,484000.0,8.64,9.47,1.75,130.27,1.53,99.9,2.5584349938186315,0.7373011509563779
NGC6205,17,256,75.3678,0.225,0.007,0.23,0.01,0.22,0.01,7.42,3.47,5.21,484000.0,8.64,9.47,1.75,130.27,1.53,99.9,2.711216522434732,0.781330409923554
NGC6205,18,256,79.9123,0.224,0.007,0.231,0.01,0.218,0.01,7.42,3.47,5.21,484000.0,8.64,9.47,1.75,130.27,1.53,99.9,2.8746964632875183,0.8284427848090831
NGC6205,19,256,84.6859,0.221,0.007,0.228,0.01,0.215,0.01,7.42,3.47,5.21,484000.0,8.64,9.47,1.75,130.27,1.53,99.9,3.0464178508229707,0.8779302163754958
NGC6205,20,256,90.393,0.219,0.007,0.219,0.01,0.217,0.01,7.42,3.47,5.21,484000.0,8.64,9.47,1.75,130.27,1.53,99.9,3.2517201658061228,0.9370951486472976
NGC6205,21,256,100.1628,0.208,0.007,0.227,0.011,0.186,0.009,7.42,3.47,5.21,484000.0,8.64,9.47,1.75,130.27,1.53,99.9,3.603170562140935,1.0383776836141023
NGC6254,1,120,10.752,0.265,0.013,0.269,0.018,0.261,0.017,5.07,2.99,4.75,189000.0,4.35,9.22,0.74,53.76,0.26,12.0,0.2642844884008436,0.0883894610036266
NGC6254,2,117,18.1139,0.24,0.012,0.235,0.016,0.251,0.017,5.07,2.99,4.75,189000.0,4.35,9.22,0.74,53.76,0.26,12.0,0.4452402152570722,0.1489097709889873
NGC6254,3,117,23.6072,0.253,0.012,0.255,0.017,0.251,0.017,5.07,2.99,4.75,189000.0,4.35,9.22,0.74,53.76,0.26,12.0,0.5802656970402152,0.1940687949967275
NGC6254,4,117,28.5914,0.256,0.012,0.244,0.017,0.27,0.018,5.07,2.99,4.75,189000.0,4.35,9.22,0.74,53.76,0.26,12.0,0.7027774852737984,0.2350426372153171
NGC6254,5,117,34.2028,0.255,0.012,0.245,0.016,0.269,0.018,5.07,2.99,4.75,189000.0,4.35,9.22,0.74,53.76,0.26,12.0,0.8407058686640972,0.281172531325785
NGC6254,6,117,39.4495,0.24,0.011,0.213,0.015,0.264,0.018,5.07,2.99,4.75,189000.0,4.35,9.22,0.74,53.76,0.26,12.0,0.969669914915279,0.3243043193696585
NGC6254,7,117,44.5144,0.261,0.012,0.26,0.017,0.259,0.017,5.07,2.99,4.75,189000.0,4.35,9.22,0.74,53.76,0.26,12.0,1.094165311613701,0.3659415757905354
NGC6254,8,116,49.2599,0.245,0.012,0.241,0.017,0.247,0.017,5.07,2.99,4.75,189000.0,4.35,9.22,0.74,53.76,0.26,12.0,1.2108098465566142,0.4049531259386669
NGC6254,9,116,53.8286,0.227,0.011,0.22,0.015,0.233,0.016,5.07,2.99,4.75,189000.0,4.35,9.22,0.74,53.76,0.26,12.0,1.3231086320994836,0.4425112481938072
NGC6254,10,116,58.2972,0.23,0.011,0.248,0.017,0.21,0.014,5.07,2.99,4.75,189000.0,4.35,9.22,0.74,53.76,0.26,12.0,1.4329469565849755,0.4792464737742393
NGC6254,11,116,63.3585,0.254,0.012,0.241,0.016,0.256,0.017,5.07,2.99,4.75,189000.0,4.35,9.22,0.74,53.76,0.26,12.0,1.557353865173442,0.5208541355095123
NGC6254,12,116,68.4685,0.238,0.011,0.242,0.017,0.235,0.016,5.07,2.99,4.75,189000.0,4.35,9.22,0.74,53.76,0.26,12.0,1.682957821249364,0.562862147575038
NGC6254,13,116,73.2866,0.229,0.011,0.217,0.014,0.244,0.017,5.07,2.99,4.75,189000.0,4.35,9.22,0.74,53.76,0.26,12.0,1.801386866409716,0.602470523882848
NGC6254,14,116,79.474,0.241,0.012,0.215,0.015,0.264,0.018,5.07,2.99,4.75,189000.0,4.35,9.22,0.74,53.76,0.26,12.0,1.953473347392917,0.6533355676899388
NGC6254,15,116,85.7212,0.223,0.011,0.215,0.015,0.233,0.016,5.07,2.99,4.75,189000.0,4.35,9.22,0.74,53.76,0.26,12.0,2.1070297142026035,0.7046922121078941
NGC6254,16,116,96.1468,0.22,0.011,0.219,0.016,0.221,0.016,5.07,2.99,4.75,189000.0,4.35,9.22,0.74,53.76,0.26,12.0,2.363291280634136,0.7903984216167678
NGC6388,1,48,6.4747,0.323,0.024,0.335,0.036,0.314,0.033,11.17,2.61,5.37,1310000.0,3.99,9.64,0.48,96.85,1.51,99.5,0.350628555498994,0.1343404427199211
NGC6388,2,398,17.5433,0.306,0.008,0.317,0.011,0.296,0.011,11.17,2.61,5.37,1310000.0,3.99,9.64,0.48,96.85,1.51,99.5,0.9500335054420282,0.3639975116636124
NGC6388,3,398,23.1823,0.286,0.008,0.283,0.011,0.29,0.011,11.17,2.61,5.37,1310000.0,3.99,9.64,0.48,96.85,1.51,99.5,1.2554058662400311,0.48099841618392
NGC6388,4,398,26.5779,0.29,0.008,0.3,0.011,0.281,0.011,11.17,2.61,5.37,1310000.0,3.99,9.64,0.48,96.85,1.51,99.5,1.4392899570940294,0.5514520908406243
NGC6388,5,398,29.4788,0.282,0.008,0.279,0.011,0.284,0.011,11.17,2.61,5.37,1310000.0,3.99,9.64,0.48,96.85,1.51,99.5,1.5963842435701645,0.611641472632247
NGC6388,6,398,31.838,0.286,0.008,0.285,0.011,0.289,0.011,11.17,2.61,5.37,1310000.0,3.99,9.64,0.48,96.85,1.51,99.5,1.7241435047148088,0.6605913811167851
NGC6388,7,398,34.031,0.271,0.007,0.286,0.011,0.256,0.01,11.17,2.61,5.37,1310000.0,3.99,9.64,0.48,96.85,1.51,99.5,1.8429024313383269,0.7060928855702401
NGC6388,8,398,36.275,0.269,0.007,0.269,0.01,0.267,0.01,11.17,2.61,5.37,1310000.0,3.99,9.64,0.48,96.85,1.51,99.5,1.9644231934647172,0.7526525645458688
NGC6388,9,398,38.2487,0.269,0.007,0.27,0.01,0.27,0.01,11.17,2.61,5.37,1310000.0,3.99,9.64,0.48,96.85,1.51,99.5,2.071306227425884,0.7936039185539787
NGC6388,10,398,40.3111,0.263,0.007,0.275,0.011,0.249,0.01,11.17,2.61,5.37,1310000.0,3.99,9.64,0.48,96.85,1.51,99.5,2.1829926890165563,0.8363956662898684
NGC6388,11,398,42.5154,0.25,0.007,0.246,0.009,0.253,0.01,11.17,2.61,5.37,1310000.0,3.99,9.64,0.48,96.85,1.51,99.5,2.302363551741692,0.8821316290198052
NGC6388,12,398,44.4983,0.25,0.007,0.254,0.01,0.244,0.009,11.17,2.61,5.37,1310000.0,3.99,9.64,0.48,96.85,1.51,99.5,2.409744799166121,0.923273869412307
NGC6388,13,398,46.4154,0.262,0.007,0.264,0.01,0.261,0.01,11.17,2.61,5.37,1310000.0,3.99,9.64,0.48,96.85,1.51,99.5,2.513562737255472,0.9630508571860048
NGC6388,14,398,48.5159,0.257,0.007,0.255,0.01,0.259,0.01,11.17,2.61,5.37,1310000.0,3.99,9.64,0.48,96.85,1.51,99.5,2.6273124524277023,1.006633123535518
NGC6388,15,398,50.555,0.244,0.007,0.24,0.009,0.249,0.01,11.17,2.61,5.37,1310000.0,3.99,9.64,0.48,96.85,1.51,99.5,2.7377371342690227,1.048941430754415
NGC6388,16,398,52.5372,0.245,0.007,0.256,0.01,0.232,0.009,11.17,2.61,5.37,1310000.0,3.99,9.64,0.48,96.85,1.51,99.5,2.8450804741473346,1.090069147182887
NGC6388,17,398,54.602,0.248,0.007,0.258,0.01,0.236,0.009,11.17,2.61,5.37,1310000.0,3.99,9.64,0.48,96.85,1.51,99.5,2.9568969044675537,1.132910691366879
NGC6388,18,398,56.7912,0.247,0.007,0.252,0.01,0.241,0.009,11.17,2.61,5.37,1310000.0,3.99,9.64,0.48,96.85,1.51,99.5,3.07545004726929,1.1783333514441725
NGC6388,19,398,58.99,0.232,0.006,0.246,0.009,0.218,0.009,11.17,2.61,5.37,1310000.0,3.99,9.64,0.48,96.85,1.51,99.5,3.1945230649892133,1.223955197313875
NGC6388,20,398,61.1792,0.234,0.006,0.243,0.009,0.224,0.009,11.17,2.61,5.37,1310000.0,3.99,9.64,0.48,96.85,1.51,99.5,3.3130762077909486,1.269377857391168
NGC6388,21,398,63.3192,0.233,0.006,0.244,0.009,0.222,0.009,11.17,2.61,5.37,1310000.0,3.99,9.64,0.48,96.85,1.51,99.5,3.428964991636972,1.3137796902823649
NGC6388,22,398,65.7812,0.235,0.006,0.238,0.009,0.231,0.009,11.17,2.61,5.37,1310000.0,3.99,9.64,0.48,96.85,1.51,99.5,3.56229124669721,1.3648625466272837
NGC6388,23,398,68.2607,0.233,0.006,0.236,0.009,0.23,0.009,11.17,2.61,5.37,1310000.0,3.99,9.64,0.48,96.85,1.51,99.5,3.696565190410394,1.4163085020729482
NGC6388,24,398,70.8728,0.223,0.006,0.234,0.009,0.212,0.008,11.17,2.61,5.37,1310000.0,3.99,9.64,0.48,96.85,1.51,99.5,3.838019906431047,1.4705057112762634
NGC6388,25,398,73.9146,0.221,0.006,0.22,0.009,0.221,0.008,11.17,2.61,5.37,1310000.0,3.99,9.64,0.48,96.85,1.51,99.5,4.002744440404334,1.5336185595418903
NGC6388,26,397,77.0838,0.222,0.006,0.229,0.009,0.214,0.008,11.17,2.61,5.37,1310000.0,3.99,9.64,0.48,96.85,1.51,99.5,4.174368147771071,1.599374769260947
NGC6388,27,397,80.4771,0.222,0.006,0.229,0.009,0.215,0.008,11.17,2.61,5.37,1310000.0,3.99,9.64,0.48,96.85,1.51,99.5,4.358127685259253,1.669780722321553
NGC6388,28,397,84.7225,0.216,0.006,0.22,0.008,0.213,0.008,11.17,2.61,5.37,1310000.0,3.99,9.64,0.48,96.85,1.51,99.5,4.588031537100332,1.7578664893104723
NGC6388,29,397,89.9764,0.202,0.005,0.206,0.008,0.197,0.008,11.17,2.61,5.37,1310000.0,3.99,9.64,0.48,96.85,1.51,99.5,4.872549332169782,1.8668771387623688
NGC6388,30,397,97.3214,0.213,0.006,0.214,0.008,0.213,0.008,11.17,2.61,5.37,1310000.0,3.99,9.64,0.48,96.85,1.51,99.5,5.2703077982207365,2.019275018475378
NGC6388,31,397,108.8635,0.205,0.006,0.218,0.008,0.192,0.008,11.17,2.61,5.37,1310000.0,3.99,9.64,0.48,96.85,1.51,99.5,5.895354495430635,2.2587565116592474
NGC6441,1,49,7.0728,0.262,0.02,0.251,0.028,0.283,0.03,12.73,2.14,4.3,1390000.0,4.78,9.5,0.64,108.31,1.52,55.3,0.4365100429059705,0.2039766555635376
NGC6441,2,110,16.1137,0.257,0.013,0.261,0.019,0.258,0.018,12.73,2.14,4.3,1390000.0,4.78,9.5,0.64,108.31,1.52,55.3,0.9944847695925144,0.4647125091553806
NGC6441,3,230,23.7627,0.257,0.009,0.266,0.013,0.25,0.012,12.73,2.14,4.3,1390000.0,4.78,9.5,0.64,108.31,1.52,55.3,1.4665559886553703,0.6853065367548459
NGC6441,4,230,28.6485,0.244,0.009,0.244,0.012,0.243,0.012,12.73,2.14,4.3,1390000.0,4.78,9.5,0.64,108.31,1.52,55.3,1.7680915569776745,0.8262110079334926
NGC6441,5,230,32.2578,0.253,0.009,0.257,0.013,0.249,0.013,12.73,2.14,4.3,1390000.0,4.78,9.5,0.64,108.31,1.52,55.3,1.9908457275834488,0.9303017418614248
NGC6441,6,230,35.1725,0.24,0.008,0.25,0.013,0.232,0.012,12.73,2.14,4.3,1390000.0,4.78,9.5,0.64,108.31,1.52,55.3,2.170731461954282,1.0143604962403183
NGC6441,7,230,37.9196,0.241,0.009,0.246,0.012,0.235,0.012,12.73,2.14,4.3,1390000.0,4.78,9.5,0.64,108.31,1.52,55.3,2.3402734734443555,1.0935857352543716
NGC6441,8,230,40.4239,0.24,0.009,0.255,0.013,0.224,0.011,12.73,2.14,4.3,1390000.0,4.78,9.5,0.64,108.31,1.52,55.3,2.494830664436526,1.1658087216993112
NGC6441,9,230,42.9726,0.239,0.008,0.253,0.013,0.224,0.011,12.73,2.14,4.3,1390000.0,4.78,9.5,0.64,108.31,1.52,55.3,2.6521280779579666,1.2393121859616665
NGC6441,10,230,45.4326,0.223,0.008,0.228,0.011,0.22,0.011,12.73,2.14,4.3,1390000.0,4.78,9.5,0.64,108.31,1.52,55.3,2.80395121809323,1.3102575785482382
NGC6441,11,230,47.8404,0.226,0.008,0.243,0.012,0.208,0.011,12.73,2.14,4.3,1390000.0,4.78,9.5,0.64,108.31,1.52,55.3,2.952552745254891,1.3796975445116313
NGC6441,12,230,50.0007,0.231,0.008,0.235,0.012,0.226,0.011,12.73,2.14,4.3,1390000.0,4.78,9.5,0.64,108.31,1.52,55.3,3.0858793833175766,1.4419997118306431
NGC6441,13,230,52.5532,0.221,0.008,0.22,0.011,0.222,0.011,12.73,2.14,4.3,1390000.0,4.78,9.5,0.64,108.31,1.52,55.3,3.24341132038882,1.5156127665368315
NGC6441,14,230,54.976,0.215,0.007,0.225,0.011,0.203,0.01,12.73,2.14,4.3,1390000.0,4.78,9.5,0.64,108.31,1.52,55.3,3.3929385984049643,1.5854853263574598
NGC6441,15,230,57.2573,0.218,0.008,0.233,0.011,0.201,0.01,12.73,2.14,4.3,1390000.0,4.78,9.5,0.64,108.31,1.52,55.3,3.533732960027149,1.651277084124836
NGC6441,16,230,59.8057,0.209,0.007,0.219,0.011,0.198,0.01,12.73,2.14,4.3,1390000.0,4.78,9.5,0.64,108.31,1.52,55.3,3.691011858531501,1.7247718965100471
NGC6441,17,230,62.2194,0.202,0.007,0.218,0.011,0.186,0.009,12.73,2.14,4.3,1390000.0,4.78,9.5,0.64,108.31,1.52,55.3,3.839977514362592,1.7943820160572856
NGC6441,18,230,64.8892,0.205,0.007,0.213,0.011,0.195,0.01,12.73,2.14,4.3,1390000.0,4.78,9.5,0.64,108.31,1.52,55.3,4.004748823115895,1.8713779547270533
NGC6441,19,230,67.6171,0.217,0.008,0.241,0.012,0.189,0.01,12.73,2.14,4.3,1390000.0,4.78,9.5,0.64,108.31,1.52,55.3,4.173105873512229,1.9500494736038452
NGC6441,20,230,70.5494,0.214,0.007,0.223,0.011,0.204,0.011,12.73,2.14,4.3,1390000.0,4.78,9.5,0.64,108.31,1.52,55.3,4.354077822218991,2.034615804775229
NGC6441,21,230,73.8092,0.195,0.007,0.21,0.011,0.18,0.009,12.73,2.14,4.3,1390000.0,4.78,9.5,0.64,108.31,1.52,55.3,4.555261997915303,2.1286271018295806
NGC6441,22,230,77.5874,0.216,0.008,0.221,0.011,0.21,0.011,12.73,2.14,4.3,1390000.0,4.78,9.5,0.64,108.31,1.52,55.3,4.78844012314256,2.237588842589981
NGC6441,23,230,81.8115,0.203,0.007,0.218,0.011,0.188,0.01,12.73,2.14,4.3,1390000.0,4.78,9.5,0.64,108.31,1.52,55.3,5.049137735437423,2.35941015674646
NGC6441,24,230,86.4369,0.211,0.008,0.22,0.011,0.203,0.01,12.73,2.14,4.3,1390000.0,4.78,9.5,0.64,108.31,1.52,55.3,5.334602268925896,2.492804798563503
NGC6441,25,230,91.4754,0.189,0.007,0.203,0.01,0.174,0.009,12.73,2.14,4.3,1390000.0,4.78,9.5,0.64,108.31,1.52,55.3,5.64556198094684,2.638113075208804
NGC6441,26,230,99.1702,0.202,0.007,0.216,0.011,0.188,0.01,12.73,2.14,4.3,1390000.0,4.78,9.5,0.64,108.31,1.52,55.3,6.120459825952052,2.8600279560523605
NGC6441,27,230,110.1411,0.209,0.007,0.226,0.011,0.193,0.01,12.73,2.14,4.3,1390000.0,4.78,9.5,0.64,108.31,1.52,55.3,6.797547829248781,3.1764242192751317
NGC6541,1,93,3.7535,0.251,0.013,0.255,0.019,0.256,0.019,7.61,2.29,3.81,257000.0,2.19,9.12,0.11,37.42,3.73,100.0,0.138482704288173,0.0604727966323899
